Informasi Rekening - Mutasi Rekening, , , 
,,,
No. rekening : 0140855855,,,
Nama : BUDI PUTRA BOGAJAYA PT,,,
Periode : 18/11/2024 - 01/12/2024,,,
Kode Mata Uang : Rp,,,
Tanggal Transaksi,Keterangan,Cabang,Jumlah
18/11/2024,KARTU KREDIT MID:000988811 BAKMI GOCIT T1  TGH:00000656999.00 ADM:00000008541.00  ,960,"648,458.00 CR"
18/11/2024,KR OTOMATIS MID : 885000988811 BAKMI GOCIT T1  TGH:    1865999.00 DDR:       8850.99  ,998,"1,857,148.01 CR"
18/11/2024,KR OTOMATIS TANGGAL :17/11 MID : 885000988811  BAKMI GOCIT T1 QR :    3825998.00  DDR:      16319.98 ,998,"3,809,678.02 CR"
18/11/2024,KR OTOMATIS SETORAN JEMPUTAN GCL1617   ,973,"8,112,000.00 CR"
19/11/2024,KARTU KREDIT MID:000988811 BAKMI GOCIT T1  TGH:00000823000.00 ADM:00000010699.00  ,960,"812,301.00 CR"
19/11/2024,KR OTOMATIS MID : 885000988811 BAKMI GOCIT T1  TGH:    2209999.00 DDR:      11661.99  ,998,"2,198,337.01 CR"
19/11/2024,KR OTOMATIS TANGGAL :18/11 MID : 885000988811  BAKMI GOCIT T1 QR :    3726000.00  DDR:      15067.99 ,998,"3,710,932.01 CR"
19/11/2024,KR OTOMATIS SETORAN JEMPUTAN GCL18   ,973,"5,440,000.00 CR"
19/11/2024,TRSF E-BANKING DB 1911/FTSCY/WS95051 429000.00  OGStokis 8-14/11 BOGAJAYA MEGAH ABA  ,0,"429,000.00 DB"
20/11/2024,KARTU KREDIT MID:000988811 BAKMI GOCIT T1  TGH:00000120000.00 ADM:00000001560.00  ,960,"118,440.00 CR"
20/11/2024,KR OTOMATIS MID : 885000988811 BAKMI GOCIT T1  TGH:    1341002.00 DDR:       6066.00  ,998,"1,334,936.00 CR"
20/11/2024,KR OTOMATIS TANGGAL :19/11 MID : 885000988811  BAKMI GOCIT T1 QR :    5790999.00  DDR:      21664.97 ,998,"5,769,334.03 CR"
20/11/2024,TRSF E-BANKING DB 2011/FTLLG/0000100 0080017PT. BANK MA  TRANSFER VIA LLG REF NO PPU =WDFW  PT. Budi Putra Bog ,0,"259,556,400.00 DB"
20/11/2024,BA JASA E-BANKING 2011/DMCHG/0000100 BIAYA TRANSFER SME   ,0,"2,900.00 DB"
20/11/2024,KR OTOMATIS SETORAN JEMPUTAN GCL19   ,973,"5,228,000.00 CR"
21/11/2024,KR OTOMATIS MID : 885000988811 BAKMI GOCIT T1  TGH:    2315002.00 DDR:       7187.01  ,998,"2,307,814.99 CR"
21/11/2024,KARTU KREDIT MID:000988811 BAKMI GOCIT T1  TGH:00000338000.00 ADM:00000004394.00  ,960,"333,606.00 CR"
21/11/2024,KR OTOMATIS TANGGAL :20/11 MID : 885000988811  BAKMI GOCIT T1 QR :    7490001.00  DDR:      30272.00 ,998,"7,459,729.00 CR"
21/11/2024,TRSF E-BANKING DB 2111/FTSCY/WS95051 4770953.00  OGSby 11-17/11 DELAPAN JAYA CV  ,0,"4,770,953.00 DB"
21/11/2024,TRSF E-BANKING DB 2111/FTSCY/WS95051 17787838.00  OGSby 11-17/11 MAJU JAYA CV  ,0,"17,787,838.00 DB"
21/11/2024,TRSF E-BANKING DB 2111/FTSCY/WS95051 3479000.00  OTKSby 11-17/11 DELAPAN JAYA CV  ,0,"3,479,000.00 DB"
21/11/2024,TRSF E-BANKING DB 2111/FTSCY/WS95051 8562503.00  BSM 11-17/11 BUDI UTOMO SANTOSO  ,0,"8,562,503.00 DB"
21/11/2024,TRSF E-BANKING DB 2111/FTLLG/0000100 0080017PT. BANK MA  TRANSFER VIA LLG REF NO PPU =W37G  CV BUDI JAYA ,0,"3,000,000.00 DB"
21/11/2024,BA JASA E-BANKING 2111/DMCHG/0000100 BIAYA TRANSFER SME   ,0,"2,900.00 DB"
21/11/2024,KR OTOMATIS SETORAN JEMPUTAN GCL20   ,973,"7,724,000.00 CR"
22/11/2024,KR OTOMATIS MID : 885000988811 BAKMI GOCIT T1  TGH:    3900000.00 DDR:      20257.50  ,998,"3,879,742.50 CR"
22/11/2024,KARTU KREDIT MID:000988811 BAKMI GOCIT T1  TGH:00002060000.00 ADM:00000026780.00  ,960,"2,033,220.00 CR"
22/11/2024,KR OTOMATIS TANGGAL :21/11 MID : 885000988811  BAKMI GOCIT T1 QR :    5697996.00  DDR:      25233.97 ,998,"5,672,762.03 CR"
22/11/2024,TRSF E-BANKING DB 2211/FTSCY/WS95051 10258540.00  RYT-GC 10/24 ANTON  ,0,"10,258,540.00 DB"
22/11/2024,TRSF E-BANKING DB 2211/FTLLG/0000100 0080017PT. BANK MA  TRANSFER VIA LLG REF NO PPU =XXBB  PT. Budi Putra Bog ,0,"1,810,331.00 DB"
22/11/2024,BA JASA E-BANKING 2211/DMCHG/0000100 BIAYA TRANSFER SME   ,0,"2,900.00 DB"
22/11/2024,KR OTOMATIS SETORAN JEMPUTAN GCL21   ,973,"6,935,000.00 CR"
23/11/2024,KARTU KREDIT MID:000988811 BAKMI GOCIT T1  TGH:00000290001.00 ADM:00000003770.00  ,960,"286,231.00 CR"
23/11/2024,KR OTOMATIS MID : 885000988811 BAKMI GOCIT T1  TGH:    3898000.00 DDR:      25719.99  ,998,"3,872,280.01 CR"
23/11/2024,KR OTOMATIS TANGGAL :22/11 MID : 885000988811  BAKMI GOCIT T1 QR :    6016002.00  DDR:      23986.40 ,998,"5,992,015.60 CR"
23/11/2024,KR OTOMATIS SETORAN JEMPUTAN GCL22   ,973,"7,240,000.00 CR"
24/11/2024,KR OTOMATIS MID : 885000988811 BAKMI GOCIT T1  TGH:     740000.00 DDR:       5666.00  ,998,"734,334.00 CR"
24/11/2024,KR OTOMATIS TANGGAL :23/11 MID : 885000988811  BAKMI GOCIT T1 QR :    3994999.00  DDR:      16576.98 ,998,"3,978,422.02 CR"
25/11/2024,KR OTOMATIS MID : 885000988811 BAKMI GOCIT T1  TGH:    1068500.00 DDR:       7684.50  ,998,"1,060,815.50 CR"
25/11/2024,KARTU KREDIT MID:000988811 BAKMI GOCIT T1  TGH:00000599000.00 ADM:00000008340.00  ,960,"590,660.00 CR"
25/11/2024,KR OTOMATIS TANGGAL :24/11 MID : 885000988811  BAKMI GOCIT T1 QR :    5367502.00  DDR:      22025.50 ,998,"5,345,476.50 CR"
25/11/2024,KR OTOMATIS SETORAN JEMPUTAN GCL23 24   ,973,"10,320,000.00 CR"
26/11/2024,KR OTOMATIS MID : 885000988811 BAKMI GOCIT T1  TGH:    2248998.00 DDR:      16871.49  ,998,"2,232,126.51 CR"
26/11/2024,KARTU KREDIT MID:000988811 BAKMI GOCIT T1  TGH:00000342000.00 ADM:00000004446.00  ,960,"337,554.00 CR"
26/11/2024,KR OTOMATIS TANGGAL :25/11 MID : 885000988811  BAKMI GOCIT T1 QR :    6157996.00  DDR:      26585.97 ,998,"6,131,410.03 CR"
26/11/2024,KR OTOMATIS SETORAN JEMPUTAN GCL25   ,973,"3,773,000.00 CR"
26/11/2024,TRSF E-BANKING DB 2611/FTSCY/WS95051 9540766.00  PPN 10/24 MAJU JAYA CV  ,0,"9,540,766.00 DB"
27/11/2024,KR OTOMATIS MID : 885000988811 BAKMI GOCIT T1  TGH:     624001.00 DDR:       4718.50  ,998,"619,282.50 CR"
27/11/2024,KARTU KREDIT MID:000988811 BAKMI GOCIT T1  TGH:00000115000.00 ADM:00000001495.00  ,960,"113,505.00 CR"
27/11/2024,KR OTOMATIS TANGGAL :26/11 MID : 885000988811  BAKMI GOCIT T1 QR :    2653001.00  DDR:       9317.00 ,998,"2,643,684.00 CR"
28/11/2024,KR OTOMATIS MID : 885000988811 BAKMI GOCIT T1  TGH:    2939997.00 DDR:      26543.97  ,998,"2,913,453.03 CR"
28/11/2024,KARTU KREDIT MID:000988811 BAKMI GOCIT T1  TGH:00000177000.00 ADM:00000002301.00  ,960,"174,699.00 CR"
28/11/2024,KR OTOMATIS TANGGAL :27/11 MID : 885000988811  BAKMI GOCIT T1 QR :    4451003.00  DDR:      20221.00 ,998,"4,430,782.00 CR"
