Informasi Rekening - Mutasi Rekening, , , 
,,,
No. rekening : 1031666665,,,
Nama : BPB LA Cafe atas,,,
Periode : 18/11/2024 - 01/12/2024,,,
Kode Mata Uang : Rp,,,
Tanggal Transaksi,Keterangan,Cabang,Jumlah
18/11/2024,KARTU KREDIT MID:000870072 LA CAFE  TGH:00001370998.00 ADM:00000019999.00  ,960,"1,350,999.00 CR"
18/11/2024,KR OTOMATIS MID : 885000870072 LA CAFE  TGH:    2783998.00 DDR:      19467.49  ,998,"2,764,530.51 CR"
18/11/2024,KR OTOMATIS TANGGAL :17/11 MID : 885000870072  LA CAFE QR :   12342989.00  DDR:      52456.91 ,998,"12,290,532.09 CR"
18/11/2024,KR OTOMATIS SETORAN JEMPUTAN SMK1617   ,973,"35,597,000.00 CR"
19/11/2024,KARTU KREDIT MID:000870072 LA CAFE  TGH:00000966998.00 ADM:00000013558.00  ,960,"953,440.00 CR"
19/11/2024,KR OTOMATIS MID : 885000870072 LA CAFE  TGH:    2388997.00 DDR:      14242.47  ,998,"2,374,754.53 CR"
19/11/2024,KR OTOMATIS TANGGAL :18/11 MID : 885000870072  LA CAFE QR :    9908977.00  DDR:      42230.87 ,998,"9,866,746.13 CR"
19/11/2024,KR OTOMATIS SETORAN JEMPUTAN SMK18   ,973,"18,538,000.00 CR"
19/11/2024,TRSF E-BANKING DB 1911/FTSCY/WS95051 1543500.00  OGStokis 8-14/11 BOGAJAYA MEGAH ABA  ,0,"1,543,500.00 DB"
20/11/2024,KARTU KREDIT MID:000870072 LA CAFE  TGH:00001535001.00 ADM:00000019955.00  ,960,"1,515,046.00 CR"
20/11/2024,KR OTOMATIS MID : 885000870072 LA CAFE  TGH:    2996997.00 DDR:      16131.99  ,998,"2,980,865.01 CR"
20/11/2024,KR OTOMATIS TANGGAL :19/11 MID : 885000870072  LA CAFE QR :    7062986.00  DDR:      28748.91 ,998,"7,034,237.09 CR"
20/11/2024,BI-FAST DB TRANSFER   KE 008 BUDI PUTRA BOGAJAY  KBB  ,0,"133,239,486.00 DB"
20/11/2024,BI-FAST DB BIAYA TXN  KE 008 BUDI PUTRA BOGAJAY  KBB  ,0,"2,500.00 DB"
20/11/2024,KR OTOMATIS SETORAN JEMPUTAN SMK19   ,973,"15,337,000.00 CR"
21/11/2024,KR OTOMATIS MID : 885000870072 LA CAFE  TGH:    3392997.00 DDR:      17779.97  ,998,"3,375,217.03 CR"
21/11/2024,KARTU KREDIT MID:000870072 LA CAFE  TGH:00001724000.00 ADM:00000022412.00  ,960,"1,701,588.00 CR"
