Informasi Rekening - Mutasi Rekening, , , 
,,,
No. rekening : 0140566888,,,
Nama : BOGAJAYA MEGAH ABADI PT,,,
Periode : 16/12/2024 - 14/01/2025,,,
Tanggal Transaksi,Keterangan,Cabang,Jumlah
16/12/2024,KR OTOMATIS SETORAN JEMPUTAN BGL14 15   ,973,"15,184,000.00 CR"
16/12/2024,KR OTOMATIS SETORAN JEMPUTAN BG9 14 15   ,973,"24,715,000.00 CR"
16/12/2024,KR OTOMATIS SETORAN JEMPUTAN BG5 14 15   ,973,"21,485,000.00 CR"
16/12/2024,KR OTOMATIS SETORAN JEMPUTAN BGLB14 15   ,973,"8,872,000.00 CR"
16/12/2024,KR OTOMATIS SETORAN JEMPUTAN BGU14 15   ,973,"15,176,000.00 CR"
17/12/2024,KR OTOMATIS SETORAN JEMPUTAN BGL16   ,973,"6,206,000.00 CR"
17/12/2024,KR OTOMATIS SETORAN JEMPUTAN BGLB16   ,973,"1,307,000.00 CR"
17/12/2024,KR OTOMATIS SETORAN JEMPUTAN BGU16   ,973,"5,386,000.00 CR"
17/12/2024,KR OTOMATIS SETORAN JEMPUTAN BG5 16   ,973,"5,813,000.00 CR"
17/12/2024,KR OTOMATIS SETORAN JEMPUTAN BG9 16   ,973,"10,654,000.00 CR"
18/12/2024,KR OTOMATIS SETORAN JEMPUTAN BGLB17   ,973,"1,109,000.00 CR"
18/12/2024,KR OTOMATIS SETORAN JEMPUTAN BG9 17   ,973,"13,050,000.00 CR"
18/12/2024,KR OTOMATIS SETORAN JEMPUTAN BGL17   ,973,"3,119,000.00 CR"
18/12/2024,KR OTOMATIS SETORAN JEMPUTAN BG5 17   ,973,"4,543,000.00 CR"
18/12/2024,KR OTOMATIS SETORAN JEMPUTAN BGU17   ,973,"3,585,000.00 CR"
19/12/2024,KR OTOMATIS SETORAN JEMPUTAN BGU 18   ,973,"6,493,000.00 CR"
19/12/2024,KR OTOMATIS SETORAN JEMPUTAN BGLB18   ,973,"3,393,000.00 CR"
19/12/2024,KR OTOMATIS SETORAN JEMPUTAN BG9 18   ,973,"11,202,000.00 CR"
19/12/2024,KR OTOMATIS SETORAN JEMPUTAN BGL18   ,973,"4,919,000.00 CR"
19/12/2024,KR OTOMATIS SETORAN JEMPUTAN BG5 18   ,973,"6,528,000.00 CR"
20/12/2024,KR OTOMATIS SETORAN JEMPUTAN BGLB19   ,973,"4,348,000.00 CR"
20/12/2024,KR OTOMATIS SETORAN JEMPUTAN BG9 19   ,973,"12,655,000.00 CR"
20/12/2024,KR OTOMATIS SETORAN JEMPUTAN BGU19   ,973,"10,427,000.00 CR"
20/12/2024,KR OTOMATIS SETORAN JEMPUTAN BGL19   ,973,"4,292,000.00 CR"
20/12/2024,KR OTOMATIS SETORAN JEMPUTAN BG5 19   ,973,"7,504,000.00 CR"
21/12/2024,KR OTOMATIS SETORAN JEMPUTAN BGU20   ,973,"8,829,000.00 CR"
21/12/2024,KR OTOMATIS SETORAN JEMPUTAN BG5 20   ,973,"11,663,000.00 CR"
21/12/2024,KR OTOMATIS SETORAN JEMPUTAN BGL20   ,973,"7,057,000.00 CR"
21/12/2024,KR OTOMATIS SETORAN JEMPUTAN BGLB20   ,973,"1,853,000.00 CR"
21/12/2024,KR OTOMATIS SETORAN JEMPUTAN BG9 20   ,973,"19,263,000.00 CR"
23/12/2024,KR OTOMATIS SETORAN JEMPUTAN BGLB21 22   ,973,"9,466,000.00 CR"
23/12/2024,KR OTOMATIS SETORAN JEMPUTAN BGL21 22   ,973,"22,404,000.00 CR"
23/12/2024,KR OTOMATIS SETORAN JEMPUTAN BG9 21 22   ,973,"29,862,000.00 CR"
23/12/2024,KR OTOMATIS SETORAN JEMPUTAN BG5 21 22   ,973,"19,364,000.00 CR"
23/12/2024,KR OTOMATIS SETORAN JEMPUTAN BGU21 22   ,973,"16,508,000.00 CR"
24/12/2024,TRSF E-BANKING DB 2412/FTSCY/WS95051 3500000.00  OS 16-22des BOGAJAYA MEGAH ABA  ,0,"3,500,000.00 DB"
24/12/2024,KR OTOMATIS SETORAN JEMPUTAN BGLB23   ,973,"5,307,000.00 CR"
24/12/2024,KR OTOMATIS SETORAN JEMPUTAN BGL23   ,973,"10,231,000.00 CR"
24/12/2024,KR OTOMATIS SETORAN JEMPUTAN BG5 23   ,973,"5,623,000.00 CR"
24/12/2024,KR OTOMATIS SETORAN JEMPUTAN BGU23   ,973,"3,863,000.00 CR"
24/12/2024,KR OTOMATIS SETORAN JEMPUTAN BG9 23   ,973,"12,948,000.00 CR"
25/12/2024,KR OTOMATIS SETORAN JEMPUTAN BG9 24   ,973,"10,428,000.00 CR"
25/12/2024,KR OTOMATIS SETORAN JEMPUTAN BGL24   ,973,"5,904,000.00 CR"
25/12/2024,KR OTOMATIS SETORAN JEMPUTAN BGLB24   ,973,"3,130,000.00 CR"
25/12/2024,KR OTOMATIS SETORAN JEMPUTAN BGU24   ,973,"4,228,000.00 CR"
25/12/2024,KR OTOMATIS SETORAN JEMPUTAN BG5 24   ,973,"6,993,000.00 CR"
26/12/2024,KR OTOMATIS SETORAN JEMPUTAN BG5 25   ,973,"4,075,000.00 CR"
26/12/2024,KR OTOMATIS SETORAN JEMPUTAN BG9 25   ,973,"6,317,000.00 CR"
26/12/2024,KR OTOMATIS SETORAN JEMPUTAN BGLB25   ,973,"11,870,000.00 CR"
26/12/2024,KR OTOMATIS SETORAN JEMPUTAN BGU25   ,973,"4,286,000.00 CR"
26/12/2024,KR OTOMATIS SETORAN JEMPUTAN BGL25   ,973,"7,749,000.00 CR"
27/12/2024,KR OTOMATIS SETORAN JEMPUTAN BG9 26   ,973,"6,146,000.00 CR"
27/12/2024,KR OTOMATIS SETORAN JEMPUTAN BGL26   ,973,"2,787,000.00 CR"
27/12/2024,KR OTOMATIS SETORAN JEMPUTAN BGU26   ,973,"2,332,000.00 CR"
27/12/2024,KR OTOMATIS SETORAN JEMPUTAN BGLB26   ,973,"1,865,000.00 CR"
27/12/2024,KR OTOMATIS SETORAN JEMPUTAN BG5 26   ,973,"6,936,000.00 CR"
28/12/2024,KR OTOMATIS SETORAN JEMPUTAN BGL27   ,973,"6,588,000.00 CR"
28/12/2024,KR OTOMATIS SETORAN JEMPUTAN BG9 27   ,973,"7,330,000.00 CR"
28/12/2024,KR OTOMATIS SETORAN JEMPUTAN BG5 27   ,973,"4,076,000.00 CR"
28/12/2024,KR OTOMATIS SETORAN JEMPUTAN BGU27   ,973,"2,969,000.00 CR"
28/12/2024,KR OTOMATIS SETORAN JEMPUTAN BGLB27   ,973,"3,042,000.00 CR"
30/12/2024,KR OTOMATIS SETORAN JEMPUTAN BGU28 29   ,973,"11,624,000.00 CR"
30/12/2024,KR OTOMATIS SETORAN JEMPUTAN BGL28 29   ,973,"12,811,000.00 CR"
30/12/2024,KR OTOMATIS SETORAN JEMPUTAN BGLB28 29   ,973,"6,780,000.00 CR"
30/12/2024,KR OTOMATIS SETORAN JEMPUTAN BG5 28 29   ,973,"12,942,000.00 CR"
30/12/2024,KR OTOMATIS SETORAN JEMPUTAN BG9 28 29   ,973,"23,196,000.00 CR"
31/12/2024,TRSF E-BANKING DB 3112/FTSCY/WS95051 3500000.00  os 23-29des BOGAJAYA MEGAH ABA  ,0,"3,500,000.00 DB"
31/12/2024,BIAYA ADM   ,0,"30,000.00 DB"
31/12/2024,BUNGA   ,0,"35,817.20 CR"
31/12/2024,PAJAK BUNGA   ,0,"7,163.44 DB"
2/1/2025,KR OTOMATIS SETORAN JEMPUTAN BGLB30 31 1   ,973,"9,593,000.00 CR"
2/1/2025,KR OTOMATIS SETORAN JEMPUTAN BG5 30 31 1   ,973,"11,765,000.00 CR"
2/1/2025,KR OTOMATIS SETORAN JEMPUTAN BG9 30 31 1   ,973,"24,128,000.00 CR"
2/1/2025,KR OTOMATIS SETORAN JEMPUTAN BGL30 31 1   ,973,"14,436,000.00 CR"
2/1/2025,KR OTOMATIS SETORAN JEMPUTAN BGU30 31 1   ,973,"12,593,000.00 CR"
3/1/2025,KR OTOMATIS SETORAN JEMPUTAN BG5 2   ,973,"8,514,000.00 CR"
3/1/2025,KR OTOMATIS SETORAN JEMPUTAN BG9 2   ,973,"8,224,000.00 CR"
3/1/2025,KR OTOMATIS SETORAN JEMPUTAN BGL2   ,973,"5,480,000.00 CR"
3/1/2025,KR OTOMATIS SETORAN JEMPUTAN BGU2   ,973,"5,571,000.00 CR"
3/1/2025,KR OTOMATIS SETORAN JEMPUTAN BGLB2   ,973,"2,514,000.00 CR"
4/1/2025,BIAYA ADMIN BDC BIAYA ADMIN BDC   ,103,"20,000.00 DB"
4/1/2025,KR OTOMATIS SETORAN JEMPUTAN BGU3   ,973,"3,066,000.00 CR"
4/1/2025,KR OTOMATIS SETORAN JEMPUTAN BGL3   ,973,"6,785,000.00 CR"
4/1/2025,KR OTOMATIS SETORAN JEMPUTAN BG5 3   ,973,"11,271,000.00 CR"
4/1/2025,KR OTOMATIS SETORAN JEMPUTAN BGLB3   ,973,"3,403,000.00 CR"
4/1/2025,KR OTOMATIS SETORAN JEMPUTAN BG9 3   ,973,"10,413,000.00 CR"
6/1/2025,KR OTOMATIS SETORAN JEMPUTAN BGL4 5   ,973,"16,503,000.00 CR"
6/1/2025,KR OTOMATIS SETORAN JEMPUTAN BG9 4 5   ,973,"18,705,000.00 CR"
6/1/2025,KR OTOMATIS SETORAN JEMPUTAN BG5 4 5   ,973,"18,251,000.00 CR"
6/1/2025,KR OTOMATIS SETORAN JEMPUTAN BGU4 5   ,973,"11,577,000.00 CR"
6/1/2025,KR OTOMATIS SETORAN JEMPUTAN BGLB4 5   ,973,"7,231,000.00 CR"
7/1/2025,KR OTOMATIS SETORAN JEMPUTAN BGU6   ,973,"4,727,000.00 CR"
7/1/2025,KR OTOMATIS SETORAN JEMPUTAN BGL6   ,973,"7,319,000.00 CR"
7/1/2025,KR OTOMATIS SETORAN JEMPUTAN BGLB6   ,973,"1,505,000.00 CR"
7/1/2025,KR OTOMATIS SETORAN JEMPUTAN BG9 6   ,973,"8,021,000.00 CR"
7/1/2025,KR OTOMATIS SETORAN JEMPUTAN BG5 6   ,973,"6,322,000.00 CR"
8/1/2025,TARIKAN TUNAI 0744870-0   ,14,"90,256,982.00 DB"
8/1/2025,KR OTOMATIS SETORAN JEMPUTAN BGLB7   ,973,"2,600,000.00 CR"
8/1/2025,KR OTOMATIS SETORAN JEMPUTAN BG5 7   ,973,"4,022,000.00 CR"
8/1/2025,KR OTOMATIS SETORAN JEMPUTAN BGL7   ,973,"13,886,000.00 CR"
8/1/2025,KR OTOMATIS SETORAN JEMPUTAN BGL7   ,973,"4,128,000.00 CR"
8/1/2025,KR OTOMATIS SETORAN JEMPUTAN BGU7   ,973,"4,753,000.00 CR"
9/1/2025,KR OTOMATIS SETORAN JEMPUTAN BGLB8   ,973,"3,476,000.00 CR"
9/1/2025,KR OTOMATIS SETORAN JEMPUTAN BG5 8   ,973,"5,210,000.00 CR"
9/1/2025,KR OTOMATIS SETORAN JEMPUTAN BG9 8   ,973,"8,152,000.00 CR"
9/1/2025,KR OTOMATIS SETORAN JEMPUTAN BGL8   ,973,"3,754,000.00 CR"
9/1/2025,KR OTOMATIS SETORAN JEMPUTAN BGU8   ,973,"4,392,000.00 CR"
10/1/2025,KR OTOMATIS SETORAN JEMPUTAN BG5 9   ,973,"3,665,000.00 CR"
10/1/2025,KR OTOMATIS SETORAN JEMPUTAN BGLB9   ,973,"2,092,000.00 CR"
10/1/2025,KR OTOMATIS SETORAN JEMPUTAN BGU9   ,973,"7,686,000.00 CR"
10/1/2025,KR OTOMATIS SETORAN JEMPUTAN BGL9   ,973,"5,151,000.00 CR"
10/1/2025,KR OTOMATIS SETORAN JEMPUTAN BG9 9   ,973,"10,361,000.00 CR"
11/1/2025,KR OTOMATIS SETORAN JEMPUTAN BGLB10   ,973,"3,775,000.00 CR"
11/1/2025,KR OTOMATIS SETORAN JEMPUTAN BG5 10   ,973,"5,744,000.00 CR"
11/1/2025,KR OTOMATIS SETORAN JEMPUTAN BG9 10   ,973,"11,706,000.00 CR"
11/1/2025,KR OTOMATIS SETORAN JEMPUTAN BGU10   ,973,"2,699,000.00 CR"
11/1/2025,KR OTOMATIS SETORAN JEMPUTAN BGL10   ,973,"5,960,000.00 CR"
13/01/2025,KR OTOMATIS SETORAN JEMPUTAN BG5 11 12   ,973,"12,129,000.00 CR"
13/01/2025,KR OTOMATIS SETORAN JEMPUTAN BGLB11 12   ,973,"9,624,000.00 CR"
13/01/2025,KR OTOMATIS SETORAN JEMPUTAN BGU11 12   ,973,"10,344,000.00 CR"
13/01/2025,KR OTOMATIS SETORAN JEMPUTAN BGL11 12   ,973,"12,819,000.00 CR"
13/01/2025,KR OTOMATIS SETORAN JEMPUTAN BG9 11 12   ,973,"23,360,000.00 CR"
PEND,KR OTOMATIS SETORAN JEMPUTAN BG5 13   ,973,"4,150,000.00 CR"
PEND,KR OTOMATIS SETORAN JEMPUTAN BGU13   ,973,"1,990,000.00 CR"
PEND,KR OTOMATIS SETORAN JEMPUTAN BG913   ,973,"5,067,000.00 CR"
PEND,KR OTOMATIS SETORAN JEMPUTAN BGL13   ,973,"4,683,000.00 CR"
PEND,KR OTOMATIS SETORAN JEMPUTAN BGLB13   ,973,"2,985,000.00 CR"
