Informasi Rekening - Mutasi Rekening, , , 
,,,
No. rekening : 0147070709,,,
Nama : BUDI JAYA CV,,,
Periode : 14/01/2025 - 17/01/2025,,,
Tanggal Transaksi,Keterangan,Cabang,Jumlah
14/01/2025,TRSF E-BANKING DB 1401/FTSCY/WS95051 4200500.00  OGStokis 3-9/1 BOGAJAYA MEGAH ABA  ,0,"4,200,500.00 DB"
14/01/2025,KR OTOMATIS SETORAN JEMPUTAN KT2 13   ,973,"886,000.00 CR"
14/01/2025,KR OTOMATIS SETORAN JEMPUTAN KI13   ,973,"3,211,000.00 CR"
14/01/2025,KR OTOMATIS SETORAN JEMPUTAN KD13   ,973,"7,297,000.00 CR"
14/01/2025,KR OTOMATIS SETORAN JEMPUTAN KP13   ,973,"1,071,000.00 CR"
15/01/2025,TRSF E-BANKING DB 1501/FTSCY/WS95051 7000000.00  KT D MAJU JAYA CV  ,0,"7,000,000.00 DB"
15/01/2025,TRSF E-BANKING DB 1501/FTSCY/WS95051 2000000.00  KT P MAJU JAYA CV  ,0,"2,000,000.00 DB"
15/01/2025,TRSF E-BANKING DB 1501/FTSCY/WS95051 1000000.00  KT T2 MAJU JAYA CV  ,0,"1,000,000.00 DB"
15/01/2025,KR OTOMATIS SETORAN JEMPUTAN KD14   ,973,"5,800,000.00 CR"
15/01/2025,KR OTOMATIS SETORAN JEMPUTAN KT2 14   ,973,"871,500.00 CR"
15/01/2025,KR OTOMATIS SETORAN JEMPUTAN KI14   ,973,"3,656,000.00 CR"
15/01/2025,KR OTOMATIS SETORAN JEMPUTAN KP14   ,973,"1,109,000.00 CR"
16/01/2025,TRSF E-BANKING DB 1601/FTSCY/WS95051 2451732.00  OGSby 6-12/1 DELAPAN JAYA CV  ,0,"2,451,732.00 DB"
16/01/2025,TRSF E-BANKING DB 1601/FTSCY/WS95051 26427334.00  OGSby 6-12/1 MAJU JAYA CV  ,0,"26,427,334.00 DB"
16/01/2025,TRSF E-BANKING DB 1601/FTSCY/WS95051 12857350.00  BSMSby 6-12/1 BUDI UTOMO SANTOSO  ,0,"12,857,350.00 DB"
16/01/2025,KR OTOMATIS SETORAN JEMPUTAN KT2 15   ,973,"738,000.00 CR"
16/01/2025,KR OTOMATIS SETORAN JEMPUTAN KI15   ,973,"3,154,000.00 CR"
16/01/2025,KR OTOMATIS SETORAN JEMPUTAN KD15   ,973,"6,810,000.00 CR"
16/01/2025,KR OTOMATIS SETORAN JEMPUTAN KP15   ,973,"1,167,000.00 CR"
PEND,TRSF E-BANKING DB 1701/FTSCY/WS95051 700000.00  OSSby 6-12/1 CECELIA LANI LISTI  ,0,"700,000.00 DB"
PEND,TRSF E-BANKING DB 1701/FTSCY/WS95051 200000.00  OSSby 6-12/1 CECELIA LANI LISTI  ,0,"200,000.00 DB"
PEND,KR OTOMATIS SETORAN JEMPUTAN KI16   ,973,"3,493,500.00 CR"
PEND,KR OTOMATIS SETORAN JEMPUTAN KP16   ,973,"781,000.00 CR"
PEND,KR OTOMATIS SETORAN JEMPUTAN KT2 16   ,973,"714,000.00 CR"
PEND,KR OTOMATIS SETORAN JEMPUTAN KD16   ,973,"6,427,000.00 CR"
