Informasi Rekening - Mutasi Rekening, , , 
,,,
No. rekening : 0147177899,,,
Nama : AMBJ Bangi 4,,,
Periode : 16/12/2024 - 14/01/2025,,,
Tanggal Transaksi,Keterangan,Cabang,Jumlah
16/12/2024,KR OTOMATIS TANGGAL :15/12 MID : 885000883663  BANGI CAFE-HO QR :    4222994.00  DDR:      17968.94 ,998,"4,205,025.06 CR"
16/12/2024,KARTU KREDIT MID:000883663 BANGI CAFE-HO  TGH:00000114001.00 ADM:00000002280.00  ,960,"111,721.00 CR"
16/12/2024,KR OTOMATIS MID : 885000883663 BANGI CAFE-HO  TGH:     756000.00 DDR:       5392.49  ,998,"750,607.51 CR"
16/12/2024,KR OTOMATIS SETORAN JEMPUTAN BC14 15   ,973,"18,686,000.00 CR"
17/12/2024,KARTU KREDIT MID:000883663 BANGI CAFE-HO  TGH:00000109000.00 ADM:00000001417.00  ,960,"107,583.00 CR"
17/12/2024,KR OTOMATIS MID : 885000883663 BANGI CAFE-HO  TGH:    1125000.00 DDR:       6379.49  ,998,"1,118,620.51 CR"
17/12/2024,KR OTOMATIS TANGGAL :16/12 MID : 885000883663  BANGI CAFE-HO QR :    3829990.00  DDR:      15531.94 ,998,"3,814,458.06 CR"
17/12/2024,KR OTOMATIS SETORAN JEMPUTAN BC16   ,973,"8,006,000.00 CR"
18/12/2024,KR OTOMATIS TANGGAL :17/12 MID : 885000883663  BANGI CAFE-HO QR :    4815990.00  DDR:      19935.94 ,998,"4,796,054.06 CR"
18/12/2024,KR OTOMATIS MID : 885000883663 BANGI CAFE-HO  TGH:     664000.00 DDR:       4787.00  ,998,"659,213.00 CR"
18/12/2024,KR OTOMATIS SETORAN JEMPUTAN BC17   ,973,"8,066,000.00 CR"
18/12/2024,TRSF E-BANKING DB 1812/FTSCY/WS95051 2000000.00  BC MAJU JAYA CV  ,0,"2,000,000.00 DB"
18/12/2024,TRSF E-BANKING DB 1812/FTSCY/WS95051 4007016.00  OGSby 9-15/12 DELAPAN JAYA CV  ,0,"4,007,016.00 DB"
18/12/2024,TRSF E-BANKING DB 1812/FTSCY/WS95051 17657006.00  OGSby 9-15/12 MAJU JAYA CV  ,0,"17,657,006.00 DB"
18/12/2024,TRSF E-BANKING DB 1812/FTSCY/WS95051 8471350.00  BSM 9-15/12 BUDI UTOMO SANTOSO  ,0,"8,471,350.00 DB"
19/12/2024,KARTU KREDIT MID:000883663 BANGI CAFE-HO  TGH:00000143000.00 ADM:00000001859.00  ,960,"141,141.00 CR"
19/12/2024,KR OTOMATIS MID : 885000883663 BANGI CAFE-HO  TGH:     591999.00 DDR:       3233.99  ,998,"588,765.01 CR"
19/12/2024,KR OTOMATIS TANGGAL :18/12 MID : 885000883663  BANGI CAFE-HO QR :    3382991.00  DDR:      13478.95 ,998,"3,369,512.05 CR"
19/12/2024,TRSF E-BANKING DB 1912/FTLLG/0000100 0080017PT. BANK MA  TRANSFER VIA LLG REF NO PPU =CTH4  ANAK MAJU BAPAK JA ,0,"94,640,952.00 DB"
19/12/2024,BA JASA E-BANKING 1912/DMCHG/0000100 BIAYA TRANSFER SME   ,0,"2,900.00 DB"
19/12/2024,TRSF E-BANKING DB 1912/FTSCY/WS95051 4603000.00  OTKSby 9-15/12 DELAPAN JAYA CV  ,0,"4,603,000.00 DB"
19/12/2024,KR OTOMATIS SETORAN JEMPUTAN BC18   ,973,"6,861,000.00 CR"
20/12/2024,KARTU KREDIT MID:000883663 BANGI CAFE-HO  TGH:00000442000.00 ADM:00000005746.00  ,960,"436,254.00 CR"
20/12/2024,KR OTOMATIS MID : 885000883663 BANGI CAFE-HO  TGH:     342998.00 DDR:        990.48  ,998,"342,007.52 CR"
20/12/2024,KR OTOMATIS TANGGAL :19/12 MID : 885000883663  BANGI CAFE-HO QR :    4347989.00  DDR:      17707.94 ,998,"4,330,281.06 CR"
20/12/2024,TRSF E-BANKING DB 2012/FTLLG/0000100 0080017PT. BANK MA  TRANSFER VIA LLG REF NO PPU =D97R  ANAK MAJU BAPAK JA ,0,"7,150,000.00 DB"
20/12/2024,BA JASA E-BANKING 2012/DMCHG/0000100 BIAYA TRANSFER SME   ,0,"2,900.00 DB"
20/12/2024,KR OTOMATIS SETORAN JEMPUTAN BC19   ,973,"6,846,000.00 CR"
21/12/2024,KR OTOMATIS TANGGAL :20/12 MID : 885000883663  BANGI CAFE-HO QR :    5173985.00  DDR:      21839.92 ,998,"5,152,145.08 CR"
21/12/2024,KR OTOMATIS MID : 885000883663 BANGI CAFE-HO  TGH:    1033000.00 DDR:       8409.00  ,998,"1,024,591.00 CR"
