Informasi Rekening - Mutasi Rekening, , , 
,,,
No. rekening : 1037007889,,,
Nama : BOGAJAYA MEGAH ABADI PT,,,
Periode : 16/12/2024 - 14/01/2025,,,
Tanggal Transaksi,Keterangan,Cabang,Jumlah
16/12/2024,KR OTOMATIS TANGGAL :15/12 MID : 885001160731  BOGAJAYA REST AREA QR :    1471000.00  DDR:       6885.00 ,998,"1,464,115.00 CR"
16/12/2024,KARTU KREDIT MID:001160731 BOGAJAYA REST AREA  TGH:00000200000.00 ADM:00000002600.00  ,960,"197,400.00 CR"
16/12/2024,KR OTOMATIS MID : 885001160731 BOGAJAYA REST AREA  TGH:     991000.00 DDR:       6263.50  ,998,"984,736.50 CR"
16/12/2024,SETORAN TUNAI  RA13DES   ,6670,"3,678,000.00 CR"
16/12/2024,SETORAN TUNAI  RA14DES   ,6670,"3,229,500.00 CR"
16/12/2024,SETORAN TUNAI  RA15DES   ,6670,"3,612,000.00 CR"
17/12/2024,KR OTOMATIS MID : 885001160731 BOGAJAYA REST AREA  TGH:    1060000.00 DDR:       1590.00  ,998,"1,058,410.00 CR"
17/12/2024,KR OTOMATIS TANGGAL :16/12 MID : 885001160731  BOGAJAYA REST AREA QR :     838000.00  DDR:       3592.00 ,998,"834,408.00 CR"
17/12/2024,TRSF E-BANKING DB 1712/FTSCY/WS95051 32429900.00  OGStokis 6-12/12 BOGAJAYA MEGAH ABA  ,0,"32,429,900.00 DB"
17/12/2024,SETORAN TUNAI  RA16DES   ,6670,"1,343,000.00 CR"
18/12/2024,KR OTOMATIS TANGGAL :17/12 MID : 885001160731  BOGAJAYA REST AREA QR :    2769500.00  DDR:      12356.50 ,998,"2,757,143.50 CR"
18/12/2024,KR OTOMATIS MID : 885001160731 BOGAJAYA REST AREA  TGH:     399000.00 DDR:       2477.00  ,998,"396,523.00 CR"
18/12/2024,SETORAN TUNAI  RA17DES   ,6670,"647,000.00 CR"
18/12/2024,TRSF E-BANKING DB 1812/FTSCY/WS95051 500000.00  BRA BOGAJAYA MEGAH ABA  ,0,"500,000.00 DB"
18/12/2024,TRSF E-BANKING DB 1812/FTSCY/WS95051 875337.00  OGSby 9-15/12 MAJU JAYA CV  ,0,"875,337.00 DB"
18/12/2024,TRSF E-BANKING DB 1812/FTSCY/WS95051 2563000.00  BSM 9-15/12 BUDI UTOMO SANTOSO  ,0,"2,563,000.00 DB"
19/12/2024,KR OTOMATIS MID : 885001160731 BOGAJAYA REST AREA  TGH:    1401000.00 DDR:       4243.50  ,998,"1,396,756.50 CR"
19/12/2024,KR OTOMATIS TANGGAL :18/12 MID : 885001160731  BOGAJAYA REST AREA QR :     897500.00  DDR:       3713.50 ,998,"893,786.50 CR"
19/12/2024,SETORAN TUNAI  RA18DES   ,6670,"2,227,000.00 CR"
20/12/2024,KARTU KREDIT MID:001160731 BOGAJAYA REST AREA  TGH:00000400000.00 ADM:00000005200.00  ,960,"394,800.00 CR"
20/12/2024,KR OTOMATIS MID : 885001160731 BOGAJAYA REST AREA  TGH:     421000.00 DDR:        631.50  ,998,"420,368.50 CR"
20/12/2024,KR OTOMATIS TANGGAL :19/12 MID : 885001160731  BOGAJAYA REST AREA QR :    1549000.00  DDR:       5823.00 ,998,"1,543,177.00 CR"
20/12/2024,SETORAN TUNAI  RA19DES   ,6670,"676,000.00 CR"
21/12/2024,KR OTOMATIS TANGGAL :20/12 MID : 885001160731  BOGAJAYA REST AREA QR :    1923500.00  DDR:       8303.50 ,998,"1,915,196.50 CR"
21/12/2024,KARTU KREDIT MID:001160731 BOGAJAYA REST AREA  TGH:00000266000.00 ADM:00000003458.00  ,960,"262,542.00 CR"
21/12/2024,KR OTOMATIS MID : 885001160731 BOGAJAYA REST AREA  TGH:    1271500.00 DDR:       7861.50  ,998,"1,263,638.50 CR"
22/12/2024,KARTU KREDIT MID:001160731 BOGAJAYA REST AREA  TGH:00000420500.00 ADM:00000005466.00  ,960,"415,034.00 CR"
22/12/2024,KR OTOMATIS MID : 885001160731 BOGAJAYA REST AREA  TGH:    3322000.00 DDR:      27873.50  ,998,"3,294,126.50 CR"
22/12/2024,KR OTOMATIS TANGGAL :21/12 MID : 885001160731  BOGAJAYA REST AREA QR :    3419000.00  DDR:      13165.00 ,998,"3,405,835.00 CR"
23/12/2024,KR OTOMATIS MID : 885001160731 BOGAJAYA REST AREA  TGH:     562000.00 DDR:       2084.00  ,998,"559,916.00 CR"
23/12/2024,KR OTOMATIS TANGGAL :22/12 MID : 885001160731  BOGAJAYA REST AREA QR :    2991000.00  DDR:      13011.00 ,998,"2,977,989.00 CR"
23/12/2024,TRSF E-BANKING DB 2312/FTSCY/WS95051 981000.00  IKARI 11/24 IKARI SHODOKU INDO  ,0,"981,000.00 DB"
23/12/2024,TRSF E-BANKING DB 2312/FTSCY/WS95051 6456000.00  BSMPinj 16-29/12 BUDI UTOMO SANTOSO  ,0,"6,456,000.00 DB"
23/12/2024,SETORAN TUNAI  RA22DES   ,6670,"1,500,000.00 CR"
23/12/2024,SETORAN TUNAI  RA21DES   ,6670,"4,313,000.00 CR"
24/12/2024,TRSF E-BANKING DB 2412/FTSCY/WS95051 500000.00  BRA BOGAJAYA MEGAH ABA  ,0,"500,000.00 DB"
24/12/2024,KARTU KREDIT MID:001160731 BOGAJAYA REST AREA  TGH:00000541000.00 ADM:00000010820.00  ,960,"530,180.00 CR"
24/12/2024,KR OTOMATIS TANGGAL :23/12 MID : 885001160731  BOGAJAYA REST AREA QR :    3482500.00  DDR:      11483.50 ,998,"3,471,016.50 CR"
24/12/2024,KR OTOMATIS MID : 885001160731 BOGAJAYA REST AREA  TGH:     715000.00 DDR:       5297.00  ,998,"709,703.00 CR"
