Informasi Rekening - Mutasi Rekening, , , 
,,,
No. rekening : 1031665588,,,
Nama : BOGAJAYA INTERNASIONAL J,,,
Periode : 16/12/2024 - 14/01/2025,,,
Tanggal Transaksi,Keterangan,Cabang,Jumlah
16/12/2024,KR OTOMATIS TANGGAL :15/12 MID : 885002092195  GLORIA JEANS COFFE QR :    2470000.00  DDR:       8980.00 ,998,"2,461,020.00 CR"
16/12/2024,KARTU KREDIT MID:002092195 GLORIA JEANS COFFE  TGH:00002179000.00 ADM:00000029517.00  ,960,"2,149,483.00 CR"
16/12/2024,KR OTOMATIS MID : 885002092195 GLORIA JEANS COFFE  TGH:     892000.00 DDR:       3463.00  ,998,"888,537.00 CR"
16/12/2024,KR OTOMATIS SETORAN JEMPUTAN GJCT214 15   ,973,"5,982,000.00 CR"
17/12/2024,KARTU KREDIT MID:002092195 GLORIA JEANS COFFE  TGH:00002465000.00 ADM:00000032045.00  ,960,"2,432,955.00 CR"
17/12/2024,KR OTOMATIS MID : 885002092195 GLORIA JEANS COFFE  TGH:      63000.00 DDR:         94.50  ,998,"62,905.50 CR"
17/12/2024,KR OTOMATIS TANGGAL :16/12 MID : 885002092195  GLORIA JEANS COFFE QR :    2543000.00  DDR:      11075.00 ,998,"2,531,925.00 CR"
17/12/2024,TRSF E-BANKING DB 1712/FTSCY/WS95051 812000.00  OGStokis 6-12/12 BOGAJAYA MEGAH ABA  ,0,"812,000.00 DB"
17/12/2024,KR OTOMATIS SETORAN JEMPUTAN GJCT2 16   ,973,"2,460,000.00 CR"
18/12/2024,KARTU KREDIT MID:002092195 GLORIA JEANS COFFE  TGH:00002479000.00 ADM:00000032227.00  ,960,"2,446,773.00 CR"
18/12/2024,KR OTOMATIS TANGGAL :17/12 MID : 885002092195  GLORIA JEANS COFFE QR :    2481000.00  DDR:       9115.00 ,998,"2,471,885.00 CR"
18/12/2024,KR OTOMATIS MID : 885002092195 GLORIA JEANS COFFE  TGH:     438000.00 DDR:        827.00  ,998,"437,173.00 CR"
18/12/2024,KR OTOMATIS SETORAN JEMPUTAN GJCT2 17   ,973,"3,833,000.00 CR"
18/12/2024,TRSF E-BANKING DB 1812/FTSCY/WS95051 2000000.00  GJCT2 MAJU JAYA CV  ,0,"2,000,000.00 DB"
18/12/2024,TRSF E-BANKING DB 1812/FTSCY/WS95051 2061885.00  OGSby 9-15/12 DELAPAN JAYA CV  ,0,"2,061,885.00 DB"
18/12/2024,TRSF E-BANKING DB 1812/FTSCY/WS95051 12110384.00  OGSby 9-15/12 MAJU JAYA CV  ,0,"12,110,384.00 DB"
18/12/2024,TRSF E-BANKING DB 1812/FTSCY/WS95051 5655000.00  BSM 9-15/12 BUDI UTOMO SANTOSO  ,0,"5,655,000.00 DB"
18/12/2024,TRSF E-BANKING DB 1812/FTSCY/WS95051 2988000.00  OKS BOGAJAYA INTERNASI  ,0,"2,988,000.00 DB"
19/12/2024,KARTU KREDIT MID:002092195 GLORIA JEANS COFFE  TGH:00002117000.00 ADM:00000032740.00  ,960,"2,084,260.00 CR"
