Informasi Rekening - Mutasi Rekening, , , 
,,,
No. rekening : 1033338787,,,
Nama : ANAK MAJU BAPAK JAYA PT,,,
Periode : 16/12/2024 - 14/01/2025,,,
Tanggal Transaksi,Keterangan,Cabang,Jumlah
16/12/2024,KR OTOMATIS TANGGAL :15/12 MID : 885002446590  BAKMI GOCIT-KAI QR :    2980500.00  DDR:      11364.50 ,998,"2,969,135.50 CR"
16/12/2024,KR OTOMATIS MID : 885002446590 BAKMI GOCIT-KAI  TGH:     264000.00 DDR:       1059.00  ,998,"262,941.00 CR"
16/12/2024,SETORAN TUNAI  GKAI13DES   ,6670,"1,237,000.00 CR"
16/12/2024,SETORAN TUNAI  GKAI14DES   ,6670,"2,015,000.00 CR"
16/12/2024,SETORAN TUNAI  GKAI15DES   ,6670,"1,987,000.00 CR"
17/12/2024,KR OTOMATIS MID : 885002446590 BAKMI GOCIT-KAI  TGH:     147599.00 DDR:        221.39  ,998,"147,377.61 CR"
17/12/2024,KR OTOMATIS TANGGAL :16/12 MID : 885002446590  BAKMI GOCIT-KAI QR :    1739000.00  DDR:       7297.00 ,998,"1,731,703.00 CR"
17/12/2024,SETORAN TUNAI  GKAI16DES   ,6670,"1,637,000.00 CR"
18/12/2024,KARTU KREDIT MID:002446590 BAKMI GOCIT-KAI  TGH:00000100000.00 ADM:00000001300.00  ,960,"98,700.00 CR"
18/12/2024,KR OTOMATIS TANGGAL :17/12 MID : 885002446590  BAKMI GOCIT-KAI QR :    1351000.00  DDR:       5397.00 ,998,"1,345,603.00 CR"
18/12/2024,SETORAN TUNAI  GKAI17DES   ,6670,"1,269,000.00 CR"
18/12/2024,TRSF E-BANKING DB 1812/FTSCY/WS95051 1900000.00  GKAI BOGAJAYA MEGAH ABA  ,0,"1,900,000.00 DB"
18/12/2024,TRSF E-BANKING DB 1812/FTSCY/WS95051 1900000.00  GKAI BOGAJAYA MEGAH ABA  ,0,"1,900,000.00 DB"
18/12/2024,TRSF E-BANKING DB 1812/FTSCY/WS95051 10400000.00  GKAI BOGAJAYA MEGAH ABA  ,0,"10,400,000.00 DB"
18/12/2024,TRSF E-BANKING DB 1812/FTSCY/WS95051 1506050.00  OGSby 9-15/12 DELAPAN JAYA CV  ,0,"1,506,050.00 DB"
18/12/2024,TRSF E-BANKING DB 1812/FTSCY/WS95051 5921273.00  OGSby 9-15/12 MAJU JAYA CV  ,0,"5,921,273.00 DB"
18/12/2024,TRSF E-BANKING DB 1812/FTSCY/WS95051 5903100.00  BSM 9-15/12 BUDI UTOMO SANTOSO  ,0,"5,903,100.00 DB"
19/12/2024,KARTU KREDIT MID:002446590 BAKMI GOCIT-KAI  TGH:00000127000.00 ADM:00000001651.00  ,960,"125,349.00 CR"
19/12/2024,KR OTOMATIS MID : 885002446590 BAKMI GOCIT-KAI  TGH:     239000.00 DDR:        358.50  ,998,"238,641.50 CR"
19/12/2024,KR OTOMATIS TANGGAL :18/12 MID : 885002446590  BAKMI GOCIT-KAI QR :    1155499.00  DDR:       4778.69 ,998,"1,150,720.31 CR"
19/12/2024,TRSF E-BANKING DB 1912/FTSCY/WS95051 1059000.00  OTKSby 9-15/12 DELAPAN JAYA CV  ,0,"1,059,000.00 DB"
19/12/2024,SETORAN TUNAI  GKAI18DES   ,6670,"1,672,000.00 CR"
20/12/2024,KARTU KREDIT MID:002446590 BAKMI GOCIT-KAI  TGH:00000147000.00 ADM:00000001911.00  ,960,"145,089.00 CR"
20/12/2024,KR OTOMATIS MID : 885002446590 BAKMI GOCIT-KAI  TGH:     297999.00 DDR:       1755.99  ,998,"296,243.01 CR"
20/12/2024,KR OTOMATIS TANGGAL :19/12 MID : 885002446590  BAKMI GOCIT-KAI QR :    1876099.00  DDR:       7500.49 ,998,"1,868,598.51 CR"
20/12/2024,SETORAN TUNAI  GKAI19DES   ,6670,"1,534,000.00 CR"
21/12/2024,KR OTOMATIS TANGGAL :20/12 MID : 885002446590  BAKMI GOCIT-KAI QR :    2211901.00  DDR:      10138.70 ,998,"2,201,762.30 CR"
21/12/2024,KR OTOMATIS MID : 885002446590 BAKMI GOCIT-KAI  TGH:     674000.00 DDR:       3034.00  ,998,"670,966.00 CR"
22/12/2024,KARTU KREDIT MID:002446590 BAKMI GOCIT-KAI  TGH:00000349500.00 ADM:00000004543.00  ,960,"344,957.00 CR"
22/12/2024,KR OTOMATIS MID : 885002446590 BAKMI GOCIT-KAI  TGH:     751000.00 DDR:       1925.50  ,998,"749,074.50 CR"
22/12/2024,KR OTOMATIS TANGGAL :21/12 MID : 885002446590  BAKMI GOCIT-KAI QR :    2582998.00  DDR:      10214.99 ,998,"2,572,783.01 CR"
23/12/2024,KR OTOMATIS MID : 885002446590 BAKMI GOCIT-KAI  TGH:     636000.00 DDR:       2492.50  ,998,"633,507.50 CR"
23/12/2024,KR OTOMATIS TANGGAL :22/12 MID : 885002446590  BAKMI GOCIT-KAI QR :    2390100.00  DDR:      10435.30 ,998,"2,379,664.70 CR"
23/12/2024,TRSF E-BANKING DB 2312/FTSCY/WS95051 12700000.00  BSMPinj 16-29/12 BUDI UTOMO SANTOSO  ,0,"12,700,000.00 DB"
23/12/2024,SETORAN TUNAI  GKAI22DES   ,6670,"3,444,000.00 CR"
23/12/2024,SETORAN TUNAI  GKAI21DES   ,6670,"2,620,000.00 CR"
24/12/2024,KR OTOMATIS TANGGAL :23/12 MID : 885002446590  BAKMI GOCIT-KAI QR :    1756800.00  DDR:       7789.00 ,998,"1,749,011.00 CR"
24/12/2024,KR OTOMATIS MID : 885002446590 BAKMI GOCIT-KAI  TGH:     565000.00 DDR:       2777.00  ,998,"562,223.00 CR"
24/12/2024,TRSF E-BANKING DB 2412/FTSCY/WS95051 2311717.00  PPN 11/24 MAJU JAYA CV  ,0,"2,311,717.00 DB"
24/12/2024,SETORAN TUNAI  GKAI20DES   ,216,"2,765,000.00 CR"
24/12/2024,SETORAN TUNAI  GKAI23DES   ,216,"2,326,000.00 CR"
25/12/2024,KR OTOMATIS TANGGAL :24/12 MID : 885002446590  BAKMI GOCIT-KAI QR :    3987302.00  DDR:      18389.71 ,998,"3,968,912.29 CR"
25/12/2024,KR OTOMATIS MID : 885002446590 BAKMI GOCIT-KAI  TGH:     584000.00 DDR:       2695.00  ,998,"581,305.00 CR"
25/12/2024,SETORAN VIA CDM 25/12  WSID:Z2531 ASMUITH   ,998,"2,950,000.00 CR"
26/12/2024,KR OTOMATIS MID : 885002446590 BAKMI GOCIT-KAI  TGH:    1049099.00 DDR:       7711.49  ,998,"1,041,387.51 CR"
26/12/2024,KR OTOMATIS TANGGAL :25/12 MID : 885002446590  BAKMI GOCIT-KAI QR :    2567600.00  DDR:      11024.80 ,998,"2,556,575.20 CR"
26/12/2024,SETORAN VIA CDM 26/12  WSID:Z2531 ASMUITH   ,998,"1,150,000.00 CR"
27/12/2024,KARTU KREDIT MID:002446590 BAKMI GOCIT-KAI  TGH:00000110000.00 ADM:00000001430.00  ,960,"108,570.00 CR"
27/12/2024,KR OTOMATIS MID : 885002446590 BAKMI GOCIT-KAI  TGH:     573000.00 DDR:       4072.50  ,998,"568,927.50 CR"
27/12/2024,KR OTOMATIS TANGGAL :26/12 MID : 885002446590  BAKMI GOCIT-KAI QR :    2091000.00  DDR:       8529.00 ,998,"2,082,471.00 CR"
27/12/2024,SETORAN TUNAI  GKAI26DES   ,6670,"1,350,000.00 CR"
28/12/2024,KR OTOMATIS TANGGAL :27/12 MID : 885002446590  BAKMI GOCIT-KAI QR :    1917302.00  DDR:       7993.90 ,998,"1,909,308.10 CR"
