Informasi Rekening - Mutasi Rekening, , , 
,,,
No. rekening : 1032779977,,,
Nama : PUTRA PANGAN SEJATI PT,,,
Periode : 16/12/2024 - 14/01/2025,,,
Tanggal Transaksi,Keterangan,Cabang,Jumlah
16/12/2024,KR OTOMATIS TANGGAL :15/12 MID : 885002038344  REFLEXOLOGY T1 QR :    2100000.00  DDR:       9240.00 ,998,"2,090,760.00 CR"
16/12/2024,KARTU KREDIT MID:002038344 REFLEXOLOGY T1  TGH:00001830000.00 ADM:00000023790.00  ,960,"1,806,210.00 CR"
16/12/2024,KR OTOMATIS MID : 885002038344 REFLEXOLOGY T1  TGH:     110000.00 DDR:       1100.00  ,998,"108,900.00 CR"
16/12/2024,TRSF E-BANKING DB 1612/FTLLG/0000100 0080017PT. BANK MA  TRANSFER VIA LLG REF NO PPU =9NX4  PUTRA PANGAN SEJAT ,0,"20,379,541.00 DB"
16/12/2024,BA JASA E-BANKING 1612/DMCHG/0000100 BIAYA TRANSFER SME   ,0,"2,900.00 DB"
16/12/2024,KR OTOMATIS SETORAN JEMPUTAN RF3 14 15   ,973,"3,670,000.00 CR"
17/12/2024,KARTU KREDIT MID:002038344 REFLEXOLOGY T1  TGH:00000820000.00 ADM:00000010660.00  ,960,"809,340.00 CR"
17/12/2024,KR OTOMATIS MID : 885002038344 REFLEXOLOGY T1  TGH:     590000.00 DDR:       4030.00  ,998,"585,970.00 CR"
17/12/2024,KR OTOMATIS TANGGAL :16/12 MID : 885002038344  REFLEXOLOGY T1 QR :    1700000.00  DDR:       7740.00 ,998,"1,692,260.00 CR"
17/12/2024,KR OTOMATIS SETORAN JEMPUTAN RF3 16   ,973,"2,150,000.00 CR"
18/12/2024,KARTU KREDIT MID:002038344 REFLEXOLOGY T1  TGH:00000220000.00 ADM:00000002860.00  ,960,"217,140.00 CR"
18/12/2024,KR OTOMATIS TANGGAL :17/12 MID : 885002038344  REFLEXOLOGY T1 QR :    1170000.00  DDR:       5250.00 ,998,"1,164,750.00 CR"
18/12/2024,KR OTOMATIS MID : 885002038344 REFLEXOLOGY T1  TGH:     190000.00 DDR:       1900.00  ,998,"188,100.00 CR"
18/12/2024,KR OTOMATIS SETORAN JEMPUTAN RF3 17   ,973,"740,000.00 CR"
