Informasi Rekening - Mutasi Rekening, , , 
,,,
No. rekening : 1031666665,,,
Nama : BPB LA Cafe atas,,,
Periode : 16/12/2024 - 14/01/2025,,,
Tanggal Transaksi,Keterangan,Cabang,Jumlah
16/12/2024,KR OTOMATIS TANGGAL :15/12 MID : 885000870072  LA CAFE QR :   16270991.00  DDR:      67478.94 ,998,"16,203,512.06 CR"
16/12/2024,KARTU KREDIT MID:000870072 LA CAFE  TGH:00000208000.00 ADM:00000003446.00  ,960,"204,554.00 CR"
16/12/2024,KR OTOMATIS MID : 885000870072 LA CAFE  TGH:    2901997.00 DDR:      10676.97  ,998,"2,891,320.03 CR"
16/12/2024,TRSF E-BANKING DB 1612/FTLLG/0000100 0080017PT. BANK MA  TRANSFER VIA LLG REF NO PPU =9NX5  PT. Budi Putra Bog ,0,"205,823,626.00 DB"
16/12/2024,BA JASA E-BANKING 1612/DMCHG/0000100 BIAYA TRANSFER SME   ,0,"2,900.00 DB"
16/12/2024,KR OTOMATIS SETORAN JEMPUTAN SMK14 15   ,973,"40,838,000.00 CR"
17/12/2024,KARTU KREDIT MID:000870072 LA CAFE  TGH:00000615999.00 ADM:00000008008.00  ,960,"607,991.00 CR"
17/12/2024,KR OTOMATIS MID : 885000870072 LA CAFE  TGH:    2288996.00 DDR:      15282.45  ,998,"2,273,713.55 CR"
17/12/2024,KR OTOMATIS TANGGAL :16/12 MID : 885000870072  LA CAFE QR :   10938989.00  DDR:      46008.92 ,998,"10,892,980.08 CR"
17/12/2024,TRSF E-BANKING DB 1712/FTSCY/WS95051 786500.00  OGStokis 6-12/12 BOGAJAYA MEGAH ABA  ,0,"786,500.00 DB"
17/12/2024,KR OTOMATIS SETORAN JEMPUTAN SMK16   ,973,"16,358,000.00 CR"
18/12/2024,KARTU KREDIT MID:000870072 LA CAFE  TGH:00000235999.00 ADM:00000003068.00  ,960,"232,931.00 CR"
18/12/2024,KR OTOMATIS TANGGAL :17/12 MID : 885000870072  LA CAFE QR :    9957977.00  DDR:      42761.87 ,998,"9,915,215.13 CR"
18/12/2024,KR OTOMATIS MID : 885000870072 LA CAFE  TGH:    4049995.00 DDR:      30571.96  ,998,"4,019,423.04 CR"
18/12/2024,KR OTOMATIS SETORAN JEMPUTAN SMK17   ,973,"16,465,000.00 CR"
18/12/2024,TRSF E-BANKING DB 1812/FTSCY/WS95051 11031955.00  OGSby 9-15/12 DELAPAN JAYA CV  ,0,"11,031,955.00 DB"
18/12/2024,TRSF E-BANKING DB 1812/FTSCY/WS95051 36432540.00  OGSby 9-15/12 MAJU JAYA CV  ,0,"36,432,540.00 DB"
18/12/2024,TRSF E-BANKING DB 1812/FTSCY/WS95051 24261600.00  BSM 9-15/12 BUDI UTOMO SANTOSO  ,0,"24,261,600.00 DB"
18/12/2024,TRSF E-BANKING DB 1812/FTSCY/WS95051 8488040.00  OKS BOGAJAYA INTERNASI  ,0,"8,488,040.00 DB"
19/12/2024,KARTU KREDIT MID:000870072 LA CAFE  TGH:00001265001.00 ADM:00000016445.00  ,960,"1,248,556.00 CR"
19/12/2024,KR OTOMATIS MID : 885000870072 LA CAFE  TGH:    2378999.00 DDR:       8098.98  ,998,"2,370,900.02 CR"
19/12/2024,KR OTOMATIS TANGGAL :18/12 MID : 885000870072  LA CAFE QR :   13416979.00  DDR:      54630.86 ,998,"13,362,348.14 CR"
19/12/2024,TRSF E-BANKING DB 1912/FTSCY/WS95051 399988.00  RYT-BGH 11/24 KARIMAH  ,0,"399,988.00 DB"
19/12/2024,TRSF E-BANKING DB 1912/FTLLG/0000100 0080017PT. BANK MA  TRANSFER VIA LLG REF NO PPU =C6XT  PT. Budi Putra Bog ,0,"70,586.00 DB"
19/12/2024,BA JASA E-BANKING 1912/DMCHG/0000100 BIAYA TRANSFER SME   ,0,"2,900.00 DB"
19/12/2024,TRSF E-BANKING DB 1912/FTSCY/WS95051 315903.00  RYT-GC 11/24 ANTON  ,0,"315,903.00 DB"
19/12/2024,TRSF E-BANKING DB 1912/FTLLG/0000100 0080017PT. BANK MA  TRANSFER VIA LLG REF NO PPU =C63X  PT. Budi Putra Bog ,0,"55,748.00 DB"
19/12/2024,BA JASA E-BANKING 1912/DMCHG/0000100 BIAYA TRANSFER SME   ,0,"2,900.00 DB"
19/12/2024,KR OTOMATIS SETORAN JEMPUTAN SMK18   ,973,"19,974,000.00 CR"
20/12/2024,KARTU KREDIT MID:000870072 LA CAFE  TGH:00000873000.00 ADM:00000011349.00  ,960,"861,651.00 CR"
20/12/2024,TRSF E-BANKING DB 2012/FTSCY/WS95051 8145000.00  OSSby 9-15/12 Y DIAN ARISTYA AND  ,0,"8,145,000.00 DB"
20/12/2024,TRSF E-BANKING DB 2012/FTSCY/WS95051 782500.00  OSSby 9-15/12 SHERLY LEONORA  ,0,"782,500.00 DB"
20/12/2024,TRSF E-BANKING DB 2012/FTSCY/WS95051 7912500.00  OSSby 9-15/12 MAPAN JAYA CV  ,0,"7,912,500.00 DB"
20/12/2024,TRSF E-BANKING DB 2012/FTSCY/WS95051 840000.00  OSSby 9-15/12 CECELIA LANI LISTI  ,0,"840,000.00 DB"
20/12/2024,TRSF E-BANKING DB 2012/FTSCY/WS95051 7288000.00  OSSby 9-15/12 FANY WIDJAJA  ,0,"7,288,000.00 DB"
20/12/2024,KR OTOMATIS MID : 885000870072 LA CAFE  TGH:    3507001.00 DDR:      21801.51  ,998,"3,485,199.49 CR"
20/12/2024,KR OTOMATIS TANGGAL :19/12 MID : 885000870072  LA CAFE QR :   14046980.00  DDR:      59762.88 ,998,"13,987,217.12 CR"
20/12/2024,TRSF E-BANKING DB 2012/FTSCY/WS95051 15427500.00  OTKSby 9-15/12 DELAPAN JAYA CV  ,0,"15,427,500.00 DB"
20/12/2024,TRSF E-BANKING DB 2012/FTSCY/WS95051 1970000.00  OTKSe 9-15/12 BOGAJAYA INTERNASI  ,0,"1,970,000.00 DB"
20/12/2024,TRSF E-BANKING DB 2012/FTLLG/0000100 0080017PT. BANK MA  TRANSFER VIA LLG REF NO PPU =D4P1  CV BUDI JAYA ,0,"9,000,000.00 DB"
20/12/2024,BA JASA E-BANKING 2012/DMCHG/0000100 BIAYA TRANSFER SME   ,0,"2,900.00 DB"
20/12/2024,TRSF E-BANKING DB 2012/FTLLG/0000100 0080017PT. BANK MA  TRANSFER VIA LLG REF NO PPU =D95G  PT. Budi Putra Bog ,0,"13,650,000.00 DB"
20/12/2024,BA JASA E-BANKING 2012/DMCHG/0000100 BIAYA TRANSFER SME   ,0,"2,900.00 DB"
20/12/2024,TRSF E-BANKING DB 2012/FTLLG/0000100 0080017PT. BANK MA  TRANSFER VIA LLG REF NO PPU =D95H  PT. Budi Putra Bog ,0,"5,200,000.00 DB"
20/12/2024,BA JASA E-BANKING 2012/DMCHG/0000100 BIAYA TRANSFER SME   ,0,"2,900.00 DB"
20/12/2024,KR OTOMATIS SETORAN JEMPUTAN SMK19   ,973,"21,952,000.00 CR"
21/12/2024,TRSF E-BANKING DB 2112/FTSCY/WS95051 3000000.00  Rutin URSULA TJAHAJO  ,0,"3,000,000.00 DB"
21/12/2024,KR OTOMATIS TANGGAL :20/12 MID : 885000870072  LA CAFE QR :   15604966.00  DDR:      67376.83 ,998,"15,537,589.17 CR"
21/12/2024,KARTU KREDIT MID:000870072 LA CAFE  TGH:00000577001.00 ADM:00000007501.00  ,960,"569,500.00 CR"
21/12/2024,KR OTOMATIS MID : 885000870072 LA CAFE  TGH:    5011996.00 DDR:      26770.46  ,998,"4,985,225.54 CR"
21/12/2024,KR OTOMATIS SETORAN JEMPUTAN SMK20   ,973,"21,903,000.00 CR"
22/12/2024,KARTU KREDIT MID:000870072 LA CAFE  TGH:00000783000.00 ADM:00000013800.00  ,960,"769,200.00 CR"
22/12/2024,KR OTOMATIS MID : 885000870072 LA CAFE  TGH:    4006997.00 DDR:      20052.47  ,998,"3,986,944.53 CR"
22/12/2024,KR OTOMATIS TANGGAL :21/12 MID : 885000870072  LA CAFE QR :   17567983.00  DDR:      74731.90 ,998,"17,493,251.10 CR"
23/12/2024,KARTU KREDIT MID:000870072 LA CAFE  TGH:00001414000.00 ADM:00000020475.00  ,960,"1,393,525.00 CR"
23/12/2024,KR OTOMATIS MID : 885000870072 LA CAFE  TGH:    3201994.00 DDR:      25134.95  ,998,"3,176,859.05 CR"
23/12/2024,KR OTOMATIS TANGGAL :22/12 MID : 885000870072  LA CAFE QR :   17461979.00  DDR:      76089.87 ,998,"17,385,889.13 CR"
23/12/2024,TRSF E-BANKING DB 2312/FTSCY/WS95051 981000.00  IKARI 11/24 IKARI SHODOKU INDO  ,0,"981,000.00 DB"
23/12/2024,TRSF E-BANKING DB 2312/FTSCY/WS95051 41189076.00  BSMPinj 16-29/12 BUDI UTOMO SANTOSO  ,0,"41,189,076.00 DB"
23/12/2024,KR OTOMATIS SETORAN JEMPUTAN SMK21 22   ,973,"50,376,000.00 CR"
24/12/2024,TRSF E-BANKING DB 2412/FTSCY/WS95051 9000000.00  SMO MAJU JAYA CV  ,0,"9,000,000.00 DB"
24/12/2024,TRSF E-BANKING DB 2412/FTSCY/WS95051 31500000.00  OSNataru 24 MAJU JAYA CV  ,0,"31,500,000.00 DB"
24/12/2024,KARTU KREDIT MID:000870072 LA CAFE  TGH:00000345000.00 ADM:00000004485.00  ,960,"340,515.00 CR"
24/12/2024,KR OTOMATIS TANGGAL :23/12 MID : 885000870072  LA CAFE QR :   14265972.00  DDR:      61165.85 ,998,"14,204,806.15 CR"
24/12/2024,KR OTOMATIS MID : 885000870072 LA CAFE  TGH:    4351000.00 DDR:      30955.49  ,998,"4,320,044.51 CR"
24/12/2024,TRSF E-BANKING DB 2412/FTSCY/WS95051 15676154.00  PPN 11/24 MAJU JAYA CV  ,0,"15,676,154.00 DB"
