Informasi Rekening - Mutasi Rekening, , , 
,,,
No. rekening : 0142188188,,,
Nama : BOGAJAYA MEGAH ABADI PT,,,
Periode : 16/12/2024 - 14/01/2025,,,
Tanggal Transaksi,Keterangan,Cabang,Jumlah
16/12/2024,KR OTOMATIS TANGGAL :15/12 MID : 885001831918  SANDANG PANGAN T1 QR :   15248000.00  DDR:      62178.00 ,998,"15,185,822.00 CR"
16/12/2024,KARTU KREDIT MID:001831918 SANDANG PANGAN T1  TGH:00001857000.00 ADM:00000024141.00  ,960,"1,832,859.00 CR"
16/12/2024,KR OTOMATIS MID : 885001831918 SANDANG PANGAN T1  TGH:    6530000.00 DDR:      30628.50  ,998,"6,499,371.50 CR"
16/12/2024,KR OTOMATIS SETORAN JEMPUTAN SP14 15   ,973,"3,255,000.00 CR"
17/12/2024,KARTU KREDIT MID:001831918 SANDANG PANGAN T1  TGH:00004475000.00 ADM:00000060709.00  ,960,"4,414,291.00 CR"
17/12/2024,KR OTOMATIS MID : 885001831918 SANDANG PANGAN T1  TGH:    6666000.00 DDR:      35694.50  ,998,"6,630,305.50 CR"
17/12/2024,KR OTOMATIS TANGGAL :16/12 MID : 885001831918  SANDANG PANGAN T1 QR :    7368000.00  DDR:      30338.00 ,998,"7,337,662.00 CR"
17/12/2024,TRSF E-BANKING DB 1712/FTLLG/0000100 0080017PT. BANK MA  TRANSFER VIA LLG REF NO PPU =BD5W  PT. BOGAJAYA MEGAH ,0,"83,249,760.00 DB"
17/12/2024,BA JASA E-BANKING 1712/DMCHG/0000100 BIAYA TRANSFER SME   ,0,"2,900.00 DB"
17/12/2024,TRSF E-BANKING DB 1712/FTSCY/WS95051 54300750.00  OGStokis 6-12/12 BOGAJAYA MEGAH ABA  ,0,"54,300,750.00 DB"
17/12/2024,KR OTOMATIS SETORAN JEMPUTAN SP16   ,973,"3,994,000.00 CR"
18/12/2024,KARTU KREDIT MID:001831918 SANDANG PANGAN T1  TGH:00003586802.00 ADM:00000052525.00  ,960,"3,534,277.00 CR"
18/12/2024,KR OTOMATIS TANGGAL :17/12 MID : 885001831918  SANDANG PANGAN T1 QR :    8865000.00  DDR:      38075.00 ,998,"8,826,925.00 CR"
18/12/2024,KR OTOMATIS MID : 885001831918 SANDANG PANGAN T1  TGH:    3974000.00 DDR:      34079.00  ,998,"3,939,921.00 CR"
18/12/2024,KR OTOMATIS SETORAN JEMPUTAN SP17   ,973,"280,000.00 CR"
18/12/2024,SETORAN TUNAI   ,6670,"700,000.00 CR"
18/12/2024,TRSF E-BANKING DB 1812/FTSCY/WS95051 3000000.00  SP MAJU JAYA CV  ,0,"3,000,000.00 DB"
18/12/2024,KR OTOMATIS MID:001831918 SANDANG PANGAN T1  REDEEM 171224   MID.001831918 ,960,"315,198.00 CR"
18/12/2024,TRSF E-BANKING DB 1812/FTSCY/WS95051 30315521.00  OGSby 9-15/12 MAJU JAYA CV  ,0,"30,315,521.00 DB"
18/12/2024,TRSF E-BANKING DB 1812/FTSCY/WS95051 7611100.00  BSM 9-15/12 BUDI UTOMO SANTOSO  ,0,"7,611,100.00 DB"
19/12/2024,TRSF E-BANKING DB 1912/ADSCY/WS95051 REF:591370571  Angsuran BCAF 9482004220004  BCA FINANCE PT ,0,"7,434,900.00 DB"
19/12/2024,KARTU KREDIT MID:001831918 SANDANG PANGAN T1  TGH:00002140000.00 ADM:00000030404.00  ,960,"2,109,596.00 CR"
19/12/2024,KR OTOMATIS MID : 885001831918 SANDANG PANGAN T1  TGH:    5692000.00 DDR:      35398.00  ,998,"5,656,602.00 CR"
19/12/2024,KR OTOMATIS TANGGAL :18/12 MID : 885001831918  SANDANG PANGAN T1 QR :   14202000.00  DDR:      66792.00 ,998,"14,135,208.00 CR"
19/12/2024,KR OTOMATIS SETORAN JEMPUTAN SP18   ,973,"1,833,000.00 CR"
20/12/2024,KARTU KREDIT MID:001831918 SANDANG PANGAN T1  TGH:00002426000.00 ADM:00000031538.00  ,960,"2,394,462.00 CR"
20/12/2024,TRSF E-BANKING DB 2012/FTSCY/WS95051 6671100.00  OSSby 9-15/12 BOGA KASIH KARUNIA  ,0,"6,671,100.00 DB"
20/12/2024,TRSF E-BANKING DB 2012/FTSCY/WS95051 65000.00  OSSby 9-15/12 CECELIA LANI LISTI  ,0,"65,000.00 DB"
20/12/2024,KR OTOMATIS MID : 885001831918 SANDANG PANGAN T1  TGH:    9895000.00 DDR:      53228.50  ,998,"9,841,771.50 CR"
20/12/2024,KR OTOMATIS TANGGAL :19/12 MID : 885001831918  SANDANG PANGAN T1 QR :    8872000.00  DDR:      35198.00 ,998,"8,836,802.00 CR"
20/12/2024,TRSF E-BANKING DB 2012/FTSCY/WS95051 1154400.00  OO 16-22/12 PUTRA PANGAN SEJAT  ,0,"1,154,400.00 DB"
20/12/2024,TRSF E-BANKING DB 2012/FTLLG/0000100 0080017PT. BANK MA  TRANSFER VIA LLG REF NO PPU =D93F  PT. BOGAJAYA MEGAH ,0,"4,550,000.00 DB"
20/12/2024,BA JASA E-BANKING 2012/DMCHG/0000100 BIAYA TRANSFER SME   ,0,"2,900.00 DB"
20/12/2024,KR OTOMATIS SETORAN JEMPUTAN SP19   ,973,"2,800,000.00 CR"
21/12/2024,KR OTOMATIS TANGGAL :20/12 MID : 885001831918  SANDANG PANGAN T1 QR :   13711000.00  DDR:      62133.00 ,998,"13,648,867.00 CR"
21/12/2024,KARTU KREDIT MID:001831918 SANDANG PANGAN T1  TGH:00001924000.00 ADM:00000025012.00  ,960,"1,898,988.00 CR"
21/12/2024,KR OTOMATIS MID : 885001831918 SANDANG PANGAN T1  TGH:   10876000.00 DDR:      65707.50  ,998,"10,810,292.50 CR"
21/12/2024,KR OTOMATIS SETORAN JEMPUTAN SP20   ,973,"1,413,000.00 CR"
22/12/2024,KARTU KREDIT MID:001831918 SANDANG PANGAN T1  TGH:00003086000.00 ADM:00000040118.00  ,960,"3,045,882.00 CR"
22/12/2024,KR OTOMATIS MID : 885001831918 SANDANG PANGAN T1  TGH:   15721000.00 DDR:     107153.50  ,998,"15,613,846.50 CR"
22/12/2024,KR OTOMATIS TANGGAL :21/12 MID : 885001831918  SANDANG PANGAN T1 QR :   13929000.00  DDR:      60717.00 ,998,"13,868,283.00 CR"
22/12/2024,KR OTOMATIS MID : 885001831919 SANDANG PANGAN T1  QR :    2063000.00 DDR:       6689.00  ,998,"2,056,311.00 CR"
23/12/2024,KARTU KREDIT MID:001831918 SANDANG PANGAN T1  TGH:00000623000.00 ADM:00000012460.00  ,960,"610,540.00 CR"
23/12/2024,KR OTOMATIS MID : 885001831918 SANDANG PANGAN T1  TGH:   12030000.00 DDR:      90915.50  ,998,"11,939,084.50 CR"
23/12/2024,KR OTOMATIS TANGGAL :22/12 MID : 885001831918  SANDANG PANGAN T1 QR :   14124000.00  DDR:      59966.00 ,998,"14,064,034.00 CR"
23/12/2024,TRSF E-BANKING DB 2312/FTSCY/WS95051 981000.00  IKARI 11/24 IKARI SHODOKU INDO  ,0,"981,000.00 DB"
23/12/2024,TRSF E-BANKING DB 2312/FTSCY/WS95051 16637230.00  BSMPinj 16-29/12 BUDI UTOMO SANTOSO  ,0,"16,637,230.00 DB"
23/12/2024,TRSF E-BANKING DB 2312/FTSCY/WS95051 57950500.00  PembSP BPN BOGAJAYA MEGAH ABA  ,0,"57,950,500.00 DB"
23/12/2024,TRSF E-BANKING DB 2312/FTSCY/WS95051 92007617.00  PembSP BPN BOGAJAYA MEGAH ABA  ,0,"92,007,617.00 DB"
23/12/2024,TRSF E-BANKING DB 2312/FTSCY/WS95051 5096560.00  PembSP BPN MAJU JAYA CV  ,0,"5,096,560.00 DB"
